Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
13-Aug-15;1536;168;66;61;245;2901;28;16;472;2521;2049
14-Aug-15;1400;122;68;72;661;2350;17;14;536;2585;2049
15-Aug-15;1446;180;56;51;434;1738;21;20;492;2526;2034
16-Aug-15;1620;163;69;86;548;3469;15;19;659;2708;2049
17-Aug-15;1554;156;62;90;487;2761;15;15;453;2502;2049
18-Aug-15;1562;171;63;72;411;3019;19;15;476;2525;2049
19-Aug-15;1757;172;78;80;273;2898;18;18;520;2569;2049
20-Aug-15;2154;218;76;110;403;3240;34;24;492;2541;2049
21-Aug-15;1952;60;13;17;334;341;18;1;668;2125;1457
22-Aug-15;2687;217;37;102;174;2579;13;5;1340;3392;2052
23-Aug-15;2556;203;31;37;246;3770;9;18;1616;3668;2052
24-Aug-15;3328;190;12;30;16;587;7;2;1482;3534;2052
25-Aug-15;2834;304;46;53;8;2020;17;6;2273;4325;2052
26-Aug-15;2576;167;25;23;204;2506;5;0;1558;3610;2052
27-Aug-15;2907;227;53;91;16;2538;20;12;1626;3678;2052
28-Aug-15;2342;210;34;50;23;302;5;22;1391;3443;2052
29-Aug-15;2522;285;29;78;97;1621;7;5;1235;2904;1669
30-Aug-15;2721;227;37;96;122;2125;14;6;1312;3364;2052
31-Aug-15;2907;277;36;70;203;2980;10;3;1156;3208;2052
1-Sep-15;2816;215;34;40;279;2839;10;8;1658;2835;1177
2-Sep-15;2509;228;18;76;129;1653;13;6;1094;3710;2616
3-Sep-15;2287;235;21;77;31;812;9;20;1052;3087;2035
4-Sep-15;2511;228;40;58;239;2140;7;5;1419;2990;1571
5-Sep-15;2893;444;40;78;83;2334;15;39;1241;3158;1917
6-Sep-15;2714;111;59;67;563;1968;15;7;1223;3143;1920
7-Sep-15;2703;183;31;44;133;1486;14;7;1211;3070;1859
8-Sep-15;2677;115;44;66;200;1782;6;7;1320;3014;1694
9-Sep-15;2614;336;36;68;71;2219;16;41;1025;2833;1808
10-Sep-15;2557;220;40;90;468;2055;8;11;1579;3608;2029
11-Sep-15;2545;210;32;58;473;1901;20;11;1999;4028;2029
12-Sep-15;2774;155;51;93;380;2493;4;2;1530;3559;2029
13-Sep-15;2912;206;49;79;131;4133;15;7;1381;3410;2029
14-Sep-15;1775;122;42;121;298;1825;25;16;915;2944;2029
15-Sep-15;1782;183;70;92;421;3061;10;19;677;2706;2029
